id;amount;name;price_amount;price_currency
ec2334ce-6858-4ac3-ba3f-25905909f75c;1000;Apple MacBook Pro 16-inch;2399.99;USD
661cd46c-2eb8-41d7-b07d-913add659e02;1000;Samsung Galaxy S23 Ultra;1199.99;USD
c26ff602-4046-43f7-932c-6469f890ba2f;1000;Sony PlayStation 5 Console;499.99;USD
be471916-1bc6-4cf6-87a2-1e0f1a51e508;1000;Ninja Foodi 9-in-1 Pressure Cooker;149.99;USD
1e44fbf8-aee7-485b-820f-ab043b3dc493;1000;Echo Dot (5th Gen) with Alexa;49.99;USD
81a8178a-5614-4c14-b284-94f942d41a56;1000;Dyson V15 Detect Cordless Vacuum;699.99;USD
7172b30d-d6da-40e2-81a9-01f2d49229a9;1000;Logitech G Pro X Superlight Wireless Mouse;129.99;USD
42fcfa04-af49-4fe5-94a0-56ca7acfc326;1000;Fitbit Charge 5 Fitness Tracker;149.95;USD
8941ec96-c39f-48f1-837a-7e8c5d3fd718;1000;Bose QuietComfort 45 Headphones;329.00;USD
76950396-0e16-478a-bda1-ffb53e440cc4;1000;Canon EOS Rebel T7 DSLR Camera;449.99;USD
500229ec-8686-4303-8467-98909b3e5a05;1000;Apple AirPods Pro (2nd Generation);249.99;USD
89f56389-8899-4865-a9b4-b577b85667a4;1000;GoPro HERO10 Black Waterproof Camera;399.99;USD
55796865-f74f-42cf-81db-9e470b6375a6;1000;Samsung 75-inch 4K UHD Smart TV;1297.99;USD
138fe480-7472-4688-a7ea-7baf3fc14fda;1000;Instant Pot Duo 7-in-1 Electric Pressure Cooker;89.99;USD
03bb4fbb-6b42-466a-9914-7c114f14ecde;1000;iRobot Roomba i7+ (7550) Robot Vacuum;799.99;USD
e1c5dcb4-e478-475b-8905-ea9a2bb88203;1000;Razer Kraken V3 Gaming Headset;129.99;USD
ceeb20b0-4381-4a6a-854c-007f0efbf4a7;1000;Nintendo Switch OLED Model;349.99;USD
8b8776ee-01dd-42a9-9a7d-10cc0f38eaa1;1000;Microsoft Surface Pro 8 Laptop;1099.99;USD
7da5e74a-45ec-4ca9-991d-2e40edb13eea;1000;Garmin Forerunner 945 GPS Smartwatch;599.99;USD
45c4c58f-7a93-4b54-abb2-76b1e302234c;1000;Sony WH-1000XM4 Wireless Noise Cancelling Headphones;348.00;USD
da8eb7ce-47fc-4b6c-923b-c05c8f3553e7;1000;Seagate Expansion 2TB External Hard Drive;59.99;USD
7c423533-876d-4e7c-a2f5-d1b0c67f2377;1000;Amazon Kindle Paperwhite (11th Generation);139.99;USD
ecdbf99d-f8f0-46b1-a8b9-473f2f69f199;1000;Philips Sonicare ProtectiveClean 6100 Sonic Electric Toothbrush;129.99;USD
49e37497-65ad-42ea-a99a-fc5bf73206b1;1000;Anker PowerCore 10000 Portable Charger;25.99;USD
9ad9af35-4b92-4d69-8c61-d601def534ab;1000;Yeti Rambler 30oz Tumbler;34.99;USD
770ac30d-42d1-4b7a-bd99-8bc41b5877df;1000;GoPro Hero 9 Black;349.99;USD
9d2e1696-c180-4358-b1d0-415fdc50f032;1000;Samsung Galaxy Watch 5 Pro;449.99;USD
b4075770-4869-47a8-9dad-920484a5536f;1000;Bose SoundLink Revolve+ Portable Bluetooth Speaker;299.99;USD
1640dfcd-c143-447f-87bd-63ab3f97ea96;1000;Fitbit Versa 3 Health and Fitness Smartwatch;229.95;USD
0003bd00-5e92-4864-b05d-4b40120e99ce;1000;Apple iPhone 14 Pro Max;1099.00;USD
f99c98fc-6b42-4cec-88da-02c322c707ef;1000;Ring Video Doorbell 4;219.99;USD
60b5eefd-eb58-4d7f-bcbe-4606284edb0c;1000;Hamilton Beach Breakfast Sandwich Maker;29.99;USD